PHYS_GROUP,REQUEST,PROJECT,DESCRIPTION,TASKID,KEYWORDS,TASKNAME,TASK_STATUS,CONTAINER_TYPE,CONTAINER_NAME,TAG_NAME,TRF_NAME,TRF_RELEASE,CAMPAIGN,SUBCAMPAIGN
MCGN,11161,mc15_valid,EVNT->EVNT+Filter test _debug,11013547,,mc15_valid.429701.Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70.evgen.e5888,finished,EVNT,mc15_valid.429701.Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70.evgen.EVNT.e5888/,e5888,Generate_tf.py,19.2.5.11.2,MC16,MC16a
MCGN,10986,mc16_13TeV,MC16a EGAM save calibration hits,10712542,,mc16_13TeV.423001.ParticleGun_single_photon_egammaET.simul.e3566_s3113,done,HITS,mc16_13TeV.423001.ParticleGun_single_photon_egammaET.simul.HITS.e3566_s3113/,s3113,Sim_tf.py,21.0.14,MC16,MC16a
MCGN,11034,mc16_13TeV,MC16a sheet 1,11040549,"2tau, MC16a_CP, NLO, PowhegPythia8EvtGen, SM, Z, drellYan, electroweak",mc16_13TeV.301043.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_400M600.merge.e3649_s3126_s3136_r9280_r9294,done,AOD,mc16_13TeV.301043.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_400M600.merge.AOD.e3649_s3126_s3136_r9280_r9294/,r9294,AODMerge_tf.py,21.0.19.1,MC16,MC16a
MCGN,11034,mc16_13TeV,MC16a sheet 1,10730131,"GammaJets, MC16a_CP, MC16a_HPC, Pythia8EvtGen, QCD, egamma, jets, mc16campaign, performance, photon",mc16_13TeV.423104.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP140_280.simul.e3791_s3126,done,HITS,mc16_13TeV.423104.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP140_280.simul.HITS.e3791_s3126/,s3126,Sim_tf.py,21.0.15,MC16,MC16a
MCGN,10623,mc16_13TeV,"Updated Minbias samples for MC16, 21.0.14",10501925,,mc16_13TeV.361238.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic_low.merge.e4981_s3087_s3089,done,HITS,mc16_13TeV.361238.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic_low.merge.HITS.e4981_s3087_s3089/,s3089,FilterHit_tf.py,21.0.14,MC16,MC16a
MCGN,9810,mc16_13TeV,pre-MC16 A3 minbias,10130686,,mc16_13TeV.361238.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic_low.merge.e4981_s2997_s3033,done,HITS,mc16_13TeV.361238.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic_low.merge.HITS.e4981_s2997_s3033/,s3033,HITSMerge_tf.py,20.3.7.1,MC16,MC16a
MCGN,9810,mc16_13TeV,pre-MC16 A3 minbias,10138443,,mc16_13TeV.361238.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic_low.merge.e4981_s2997_s3037,done,HITS,mc16_13TeV.361238.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic_low.merge.HITS.e4981_s2997_s3037/,s3037,FilterHit_tf.py,20.3.7.1,MC16,MC16a
SIMU,8737,mc16_13TeV,MC Samples for Tile OFC Checks,9271604,,mc16_13TeV.361036.Pythia8_A2MSTW2008LO_minbias_inelastic.recon.e3580_s2951_r8359,done,ESD,mc16_13TeV.361036.Pythia8_A2MSTW2008LO_minbias_inelastic.recon.ESD.e3580_s2951_r8359/,r8359,Reco_tf.py,20.7.7.1,MC16,MC16a
SIMU,8786,mc16_13TeV,Single Particle Samples for MC16 Pre-Production,9292772,,mc16_13TeV.428001.ParticleGun_single_piplus_logE0p2to2000.simul.e3501_s2955,done,HITS,mc16_13TeV.428001.ParticleGun_single_piplus_logE0p2to2000.simul.HITS.e3501_s2955/,s2955,Sim_tf.py,20.3.7.2,MC16,MC16a
SIMU,8786,mc16_13TeV,Single Particle Samples for MC16 Pre-Production,9418449,,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.recon.e3566_s2955_r8501,finished,AOD,mc16_13TeV.423000.ParticleGun_single_electron_egammaET.recon.AOD.e3566_s2955_r8501/,r8501,Reco_tf.py,20.7.7.9,MC16,MC16a
SIMU,10058,mc16_13TeV,Updated Minbias samples for MC16,10142853,,mc16_13TeV.361239.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic_high.simul.e4981_s3035,done,HITS,mc16_13TeV.361239.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic_high.simul.HITS.e4981_s3035/,s3035,Sim_tf.py,21.0.11,MC16,MC16a
SIMU,10058,mc16_13TeV,Updated Minbias samples for MC16,10142872,,mc16_13TeV.361239.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic_high.simul.e4981_s3034,done,HITS,mc16_13TeV.361239.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic_high.simul.HITS.e4981_s3034/,s3034,Sim_tf.py,21.0.11,MC16,MC16a
SIMU,10058,mc16_13TeV,Updated Minbias samples for MC16,10178988,,mc16_13TeV.361238.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic_low.merge.e4981_s3035_s3039,done,HITS,mc16_13TeV.361238.Pythia8EvtGen_A3NNPDF23LO_minbias_inelastic_low.merge.HITS.e4981_s3035_s3039/,s3039,FilterHit_tf.py,21.0.11,MC16,MC16a
